"Term","Year","Internship.Site","Title..if.applicable.","Location","Latitude","Longitude","Notes..if.any.","Notes.on.Location"
"Summer",2011,"Westchester Jewish Community Services","Intern","Hartsdale, New York",44.387611,-68.203912,NA,NA
"Winter",2016,"WERU Community Radio","Office/Station Assistant","Blue Hill, Maine",44.414164,-68.58696,NA,NA
"Summer",1993,"Wells National Estuarine Research Reserve","Research Assistant","Wells, Maine",44.3106,-69.7795,NA,NA
"Summer",1991,"Wellfleet Bay wildlife Sanctuary","Intern","South Wellfleet, Massachusetts",44.387611,-68.203912,NA,NA
"Summer",2014,"Wediko Children's Services","Residential Counselor","Maine",45.709097,-68.8590201,NA,NA
"Spring",2015,"Wayback Farm",NA,"Belmont, Maine",44.3106,-69.7795,NA,NA
"Summer",2010,"Watershed Research Cooperative","Amphibian Field Technition","Oregon",43.9792797,-120.737257,NA,NA
"Summer",1995,"Watershed Center for the Ceramic Arts","Intern","Belfast, Maine",44.4261486,-69.0067249,NA,NA
"Winter",2007,"Watamu Turtle Watch (WTW) and Colobus Trust","Intern","Watamu, Kenya Diani, Kenya",-3.35,40.0166,NA,"coordinates for Watamu, Kenya"
"Fall",1986,"Washurn-Norlands Living History Center","Education Intern","Livermore Falls, Maine",44.4753426,-70.188114,"Physical files emailed to Jill and to Steve Katona",NA
"Spring",1995,"Washington-Hancock Community Agency","Intern","Milbridge, Maine",44.3106,-69.7795,NA,NA
"Winter",1995,"Washington Times Newspaper","Intern","New York, New York",40.741895,-73.989308,NA,NA
"Winter",2003,"Washington State University","Intern","Jefferson County, Washington",47.7325289,-123.6328565,NA,"not precise"
"Winter",2012,"Washington Montessori School (WMS)","Intern","Washington, Connecticut",41.6314845,-73.3106731,NA,NA
"Summer",2018,"Washington County Conservation District","Watershed Intern","Washington, Pennsylvania",44.387611,-68.203912,NA,NA
"Summer",1977,"Warren Wilson College Museum","Museum Planner","Swannanoa, North Carolina",35.5998286,-82.4033934,"Not scanned: photos, bound in book",NA
"Spring",2008,"Volvo Powertrain Environmental Management Team","Intern","Hagerstown, Maryland",44.387611,-68.203912,NA,NA
"Fall",2008,"Vishwa Samvad Kendra Media Center","Media Intern","Mumbai, India",19.0815772,72.8866275,NA,NA
"Summer",2009,"Virginia Institute of Marine Sciences","Intern","Williamsburg, Virginia",37.2708788,-76.7074042,NA,NA
"Fall",2003,"Vessel Scorpio's lady","Sterman","Bar Harbor, Maine",44.387611,-68.203912,NA,NA
"Summer",2020,"Vaughan Woods and Historic Homestead","Intern","Hallowell, Maine",44.2856028,-69.790165,NA,NA
"Summer",2008,"Valleywide Veternary Services Inc.","Intern","Cornwall, Vermont",43.9609015,-73.2098352,NA,NA
"Summer",2010,"USDA Forest Service","Volunteer Intern","Davis, California",44.387611,-68.203912,NA,NA
"Spring",2017,"US Department of Education","Intern","Washington, D.C.",38.8950368,-77.0365427,NA,NA
"Summer",2020,"US Committee for Refugees and Immigrants","Refugee Services Student Volunteeer","Albany, New York",42.6511674,-73.754968,NA,NA
"Fall",1978,"Upward Bound Program","Tutor-Counselor","Canton, New York",44.387611,-68.203912,NA,NA
"Summer",1973,"Upward Bound","Intern","Orono, Maine",44.883607,-68.672791,NA,NA
"Summer",1998,"Upper Valley Land Trust","Intern","Hanover, New Hampshire",43.703622,-72.288666,"Not included calandar 1999",NA
"Summer",1995,"Up With People","Intern","Broomfield, Colorado",39.9403995,-105.05208,NA,NA
"Winter",1992,"University of Rhode Island","Field Assistant","Belize",44.387611,-68.203912,NA,NA
"Winter",2008,"University of Pennsylvania","Research Assistant","Philadelphia, Pennsylvania",39.9527237,-75.1635262,NA,NA
"Summer",1998,"University of Otago","Intern","South Island, New Zealand",-45.8649793,170.5146149,NA,NA
"Spring",1975,"University of Oslo","Intern","Oslo, Norway",59.9133301,10.7389701,NA,NA
"Winter",2015,"University of North Texas","Intern","Denton, Texas",33.1838787,-97.1413417,NA,NA
